id,company_name,activity,siren,siret,vat_number,address,city,zip_code,country,contact_email,contact_phone,contract_type,contract_start,contract_end,monthly_fee_eur
32,CloudDigital SARL,Transport,338498626,33849862655031,FR89338498626,1 rue Nationale,Paris,24937,Luxembourg,contact@clouddigital.fr,+33698246495,ENTERPRISE,2019-05-25,2022-05-24,19133.2
33,NovaEuro SNC,Informatique,503561647,50356164783297,FR92503561647,70 rue de la République,Reims,41912,France,contact@novaeuro.fr,+33618646810,ENTERPRISE,2020-12-07,2021-12-07,8513.48
34,WebSmart SAS,Industrie,767167264,76716726491902,FR41767167264,5 rue de la République,Nîmes,44330,Canada,contact@websmart.fr,+33620420183,PREMIUM,2021-06-29,2024-06-28,11335.49
35,TechPro SNC,Informatique,966551747,96655174767876,FR64966551747,178 rue de la République,Toulon,23872,France,contact@techpro.fr,+33648458088,ENTERPRISE,2020-04-26,2023-04-26,12986.51
36,SysDigital SNC,Construction,587232801,58723280174236,FR53587232801,145 rue de la Paix,Angers,93131,France,contact@sysdigital.fr,+33627408086,PARTNER,2019-02-10,2020-02-10,2585.45
37,OmegaMulti SNC,Industrie,958287327,95828732751998,FR37958287327,111 rue Victor Hugo,Angers,34006,Belgique,contact@omegamulti.fr,+33628097393,PREMIUM,2019-08-07,2020-08-06,16860.28
38,DataOmega GIE,Distribution,298353638,29835363864871,FR59298353638,65 rue du Commerce,Bordeaux,45930,France,contact@dataomega.fr,+33626594775,STANDARD,2021-12-14,2023-12-14,2403.35
39,UniDigital SAS,Énergie,237901827,23790182748110,FR86237901827,115 rue Victor Hugo,Grenoble,75549,France,contact@unidigital.fr,+33643951627,BASIC,2021-10-24,2023-10-24,5828.9
40,GlobalPro GIE,Conseil IT,648031388,64803138826875,FR74648031388,19 rue du Commerce,Toulouse,82847,France,contact@globalpro.fr,+33668387823,PREMIUM,2022-05-17,2025-05-16,15534.49
41,TechSmart SARL,Santé,188421483,18842148311382,FR64188421483,2 rue du Commerce,Rouen,21545,France,contact@techsmart.fr,+33642440204,STANDARD,2019-08-07,2020-08-06,10931.07
42,ConnectCloud SA,Industrie,286007420,28600742082741,FR96286007420,7 rue du Commerce,Grenoble,49029,France,contact@connectcloud.fr,+33664293443,PREMIUM,2019-08-17,2021-08-16,2680.44
43,NetGlobal SA,Transport,762009327,76200932755802,FR37762009327,179 rue de la République,Grenoble,40349,France,contact@netglobal.fr,+33638011139,ENTERPRISE,2022-12-10,2024-12-09,3702.58
44,UniOmega GIE,Transport,748256973,74825697355554,FR81748256973,6 rue de la Paix,Toulon,89415,France,contact@uniomega.fr,+33689656894,PREMIUM,2021-12-29,2023-12-29,18347.97
45,CloudOmega SA,Conseil IT,823285550,82328555083146,FR47823285550,198 rue de la Paix,Lyon,81984,Maroc,contact@cloudomega.fr,+33649672731,ENTERPRISE,2020-11-04,2023-11-04,4738.21
46,SmartOmega SAS,Éducation,143228936,14322893633008,FR90143228936,140 rue Nationale,Strasbourg,58840,France,contact@smartomega.fr,+33689472654,STANDARD,2021-05-28,2024-05-27,12133.73
47,AlphaWeb GIE,Agriculture,935710677,93571067756103,FR27935710677,95 rue Nationale,Bordeaux,51079,France,contact@alphaweb.fr,+33689648494,STANDARD,2019-07-21,2020-07-20,6912.47
48,ConnectUni SARL,Santé,396497589,39649758963454,FR26396497589,180 rue de la Paix,Rennes,81842,France,contact@connectuni.fr,+33678162438,PREMIUM,2019-09-23,2021-09-22,16841.28
49,CloudInfo EURL,Distribution,237801521,23780152144749,FR48237801521,8 rue Nationale,Reims,39946,France,contact@cloudinfo.fr,+33674172576,BASIC,2019-07-09,2021-07-08,18694.82
50,EuroPro GIE,Informatique,140635098,14063509826628,FR68140635098,165 rue Victor Hugo,Lille,80202,France,contact@europro.fr,+33615391474,STANDARD,2022-02-23,2023-02-23,23121.35
51,SysTech SAS,Télécommunications,663349903,66334990370051,FR73663349903,57 rue du Commerce,Saint-Étienne,93927,France,contact@systech.fr,+33667904277,STANDARD,2019-04-02,2022-04-01,5807.34
52,CloudTrans SARL,Hôtellerie,753694123,75369412312731,FR14753694123,64 rue de la République,Saint-Étienne,61570,France,contact@cloudtrans.fr,+33659850419,ENTERPRISE,2019-03-08,2022-03-07,1885.16
53,CloudPro SNC,Construction,260665043,26066504314182,FR52260665043,171 rue Nationale,Angers,44595,France,contact@cloudpro.fr,+33633830905,PARTNER,2022-01-03,2023-01-03,20674.56
54,EuroDigital EURL,Distribution,873489979,87348997944112,FR87873489979,198 rue de la Paix,Rouen,42781,France,contact@eurodigital.fr,+33641110344,ENTERPRISE,2022-02-14,2023-02-14,12245.89
55,TechData SARL,Hôtellerie,421856650,42185665043529,FR51421856650,96 rue du Commerce,Le Havre,10792,France,contact@techdata.fr,+33630905908,BASIC,2019-11-27,2021-11-26,9282.59
56,GlobalWeb EURL,Immobilier,885460794,88546079492786,FR32885460794,13 rue de la République,Toulon,62290,France,contact@globalweb.fr,+33684456001,ENTERPRISE,2022-11-15,2025-11-14,14386.35
57,CloudGlobal GIE,Santé,951877609,95187760962005,FR52951877609,181 rue de la Paix,Strasbourg,21730,France,contact@cloudglobal.fr,+33640043488,BASIC,2020-11-03,2021-11-03,13533.27
58,InfoAlpha GIE,Construction,864752111,86475211163420,FR39864752111,15 rue de la Paix,Nantes,92643,France,contact@infoalpha.fr,+33673179379,ENTERPRISE,2019-05-02,2022-05-01,2477.66
59,WebGlobal SNC,Industrie,295951642,29595164295512,FR81295951642,82 rue Victor Hugo,Montpellier,32103,France,contact@webglobal.fr,+33693614345,BASIC,2022-08-12,2024-08-11,15113.12
60,MultiNova SARL,Immobilier,576726420,57672642070828,FR33576726420,153 rue Victor Hugo,Toulouse,80222,France,contact@multinova.fr,+33669953332,BASIC,2021-09-24,2024-09-23,17322.43
61,ConnectEuro EURL,Immobilier,825598609,82559860969574,FR34825598609,112 rue Victor Hugo,Lyon,17842,France,contact@connecteuro.fr,+33636216143,STANDARD,2019-01-24,2021-01-23,8963.42
62,ConnectTrans SARL,Hôtellerie,910261899,91026189910043,FR24910261899,57 rue Victor Hugo,Reims,12650,France,contact@connecttrans.fr,+33656428776,PREMIUM,2020-01-22,2021-01-21,14924.15
63,NetSys GIE,Télécommunications,747835222,74783522237086,FR37747835222,68 rue Nationale,Lyon,56196,France,contact@netsys.fr,+33659224265,PARTNER,2020-01-12,2022-01-11,18957.16
64,SmartInfo SA,Hôtellerie,212400119,21240011931944,FR84212400119,73 rue Victor Hugo,Rennes,54583,Sénégal,contact@smartinfo.fr,+33634989470,STANDARD,2020-03-13,2022-03-13,20639.54
65,EuroSmart GIE,Éducation,615501696,61550169694978,FR73615501696,155 rue de la Paix,Rennes,53512,France,contact@eurosmart.fr,+33624507329,STANDARD,2020-06-06,2023-06-06,12003.41
66,NovaTech SAS,Finance,492327618,49232761887277,FR53492327618,43 rue de la République,Nantes,40248,France,contact@novatech.fr,+33699299012,ENTERPRISE,2020-06-27,2022-06-27,24008.97
67,TransDigital SA,Agriculture,177375552,17737555220690,FR97177375552,57 rue du Commerce,Marseille,17040,France,contact@transdigital.fr,+33627812308,PREMIUM,2021-03-07,2023-03-07,3230.65
68,TransAlpha EURL,Distribution,107770568,10777056854716,FR50107770568,46 rue du Commerce,Nantes,85921,France,contact@transalpha.fr,+33699921175,PREMIUM,2021-10-16,2024-10-15,9737.58
69,NetCloud SAS,Éducation,479610770,47961077071513,FR28479610770,149 rue Victor Hugo,Lyon,42407,France,contact@netcloud.fr,+33652281238,STANDARD,2022-08-26,2024-08-25,3853.82
70,InfoWeb SARL,Télécommunications,985695712,98569571288414,FR20985695712,176 rue du Commerce,Reims,51513,France,contact@infoweb.fr,+33675716325,PARTNER,2022-07-28,2025-07-27,4811.24
71,CloudUni SNC,Commerce de détail,559683115,55968311576792,FR68559683115,59 rue Victor Hugo,Lille,77971,France,contact@clouduni.fr,+33615022580,ENTERPRISE,2020-02-07,2022-02-06,10700.12
72,SmartGlobal GIE,Industrie,287623428,28762342814103,FR35287623428,19 rue de la Paix,Strasbourg,32270,France,contact@smartglobal.fr,+33612108328,ENTERPRISE,2021-06-14,2022-06-14,21613.44
73,ConnectDigital SARL,Informatique,955976411,95597641158684,FR57955976411,110 rue du Commerce,Marseille,71494,Canada,contact@connectdigital.fr,+33636298796,PREMIUM,2022-05-12,2023-05-12,11404.94
74,SmartDigital EURL,Immobilier,433917585,43391758596424,FR49433917585,52 rue de la Paix,Nice,77531,France,contact@smartdigital.fr,+33684015449,PARTNER,2020-03-19,2023-03-19,1546.39
75,InfoUni SA,Énergie,899998374,89999837437704,FR25899998374,52 rue du Commerce,Saint-Étienne,32446,Tunisie,contact@infouni.fr,+33694051646,STANDARD,2019-09-02,2020-09-01,4504.23
76,DigitalMulti SNC,Agriculture,324275284,32427528477837,FR78324275284,156 rue Nationale,Grenoble,91190,Luxembourg,contact@digitalmulti.fr,+33646357123,STANDARD,2021-06-21,2024-06-20,17085.48
77,WebInter GIE,Santé,676894245,67689424555124,FR71676894245,35 rue de la Paix,Saint-Étienne,94202,Sénégal,contact@webinter.fr,+33619340052,PREMIUM,2022-05-29,2023-05-29,19926.19
78,InfoInter SARL,Santé,550103044,55010304496442,FR47550103044,93 rue de la République,Toulouse,16848,France,contact@infointer.fr,+33619682891,STANDARD,2020-01-16,2023-01-15,7410.02
79,InterWeb EURL,Industrie,776624686,77662468673221,FR54776624686,96 rue du Commerce,Nice,37491,Suisse,contact@interweb.fr,+33699664961,PARTNER,2019-12-11,2021-12-10,21366.33
80,InfoUni SA,Distribution,885531999,88553199973235,FR99885531999,66 rue Nationale,Le Havre,32678,France,contact@infouni.fr,+33638863145,PARTNER,2020-07-23,2023-07-23,3566.48
81,TechInter EURL,Distribution,491442506,49144250611869,FR58491442506,24 rue du Commerce,Saint-Étienne,61003,France,contact@techinter.fr,+33678869382,PREMIUM,2020-07-11,2023-07-11,15734.6
82,DataTrans EURL,Santé,988660087,98866008713180,FR75988660087,79 rue de la République,Nice,62290,France,contact@datatrans.fr,+33688411170,STANDARD,2022-05-26,2024-05-25,12305.31
83,EuroTech EURL,Énergie,362265841,36226584155187,FR51362265841,31 rue du Commerce,Nîmes,41985,Maroc,contact@eurotech.fr,+33648176956,STANDARD,2019-02-20,2022-02-19,17399.1
84,InfoMulti EURL,Industrie,431795594,43179559438630,FR58431795594,53 rue de la République,Toulon,21362,France,contact@infomulti.fr,+33621220207,BASIC,2019-04-27,2020-04-26,21051.91
85,TransOmega SNC,Conseil IT,420261766,42026176623938,FR20420261766,60 rue de la République,Nîmes,20239,Tunisie,contact@transomega.fr,+33619266953,STANDARD,2021-09-26,2022-09-26,20791.95
86,InterPro SNC,Industrie,701392353,70139235353283,FR85701392353,188 rue du Commerce,Toulon,68798,France,contact@interpro.fr,+33628230783,BASIC,2022-05-22,2024-05-21,22481.37
87,CloudOmega GIE,Industrie,501338183,50133818359751,FR54501338183,126 rue de la République,Saint-Étienne,80006,France,contact@cloudomega.fr,+33612882314,STANDARD,2019-04-05,2020-04-04,15710.73
88,OmegaTrans SNC,Éducation,200232221,20023222167888,FR85200232221,20 rue du Commerce,Lyon,79834,France,contact@omegatrans.fr,+33696985973,BASIC,2020-01-20,2021-01-19,12257.03
89,CloudInfo SNC,Conseil IT,902244812,90224481296294,FR55902244812,123 rue de la Paix,Montpellier,35942,France,contact@cloudinfo.fr,+33665407368,STANDARD,2022-03-18,2025-03-17,14829.32
90,CloudTech EURL,Finance,309321461,30932146145332,FR56309321461,95 rue de la République,Montpellier,61215,France,contact@cloudtech.fr,+33631110144,STANDARD,2020-08-28,2022-08-28,6541.22
91,MultiInter SAS,Informatique,898200091,89820009151610,FR74898200091,48 rue du Commerce,Lyon,47730,France,contact@multiinter.fr,+33695062793,ENTERPRISE,2019-04-03,2021-04-02,11847.86
92,NetSys SNC,Commerce de détail,711280551,71128055186014,FR85711280551,128 rue de la République,Grenoble,30131,France,contact@netsys.fr,+33639074191,BASIC,2022-05-09,2023-05-09,1330.73
93,EuroSmart SARL,Énergie,218067743,21806774369222,FR86218067743,40 rue Nationale,Bordeaux,40033,France,contact@eurosmart.fr,+33640318146,PARTNER,2019-04-30,2022-04-29,24258.38
94,CloudCloud SA,Hôtellerie,472892446,47289244671497,FR35472892446,133 rue Nationale,Paris,93526,France,contact@cloudcloud.fr,+33617073264,BASIC,2020-09-27,2021-09-27,11343.87
95,InfoCloud GIE,Commerce de détail,563598149,56359814977216,FR11563598149,96 rue du Commerce,Montpellier,18813,Suisse,contact@infocloud.fr,+33656303301,ENTERPRISE,2021-02-15,2024-02-15,13274.41
96,DataUni EURL,Énergie,969181655,96918165515035,FR79969181655,75 rue Victor Hugo,Toulouse,29426,France,contact@datauni.fr,+33620455159,ENTERPRISE,2020-10-31,2023-10-31,10323.14
97,NetPro SARL,Éducation,759886149,75988614967281,FR76759886149,58 rue du Commerce,Bordeaux,27821,France,contact@netpro.fr,+33658492912,STANDARD,2019-07-21,2021-07-20,7879.9
98,SmartInter GIE,Informatique,561589758,56158975819361,FR37561589758,89 rue de la République,Grenoble,86765,France,contact@smartinter.fr,+33646157897,PARTNER,2022-11-18,2023-11-18,19200.76
99,ConnectUni SNC,Agriculture,142720771,14272077118827,FR39142720771,151 rue Nationale,Paris,68413,France,contact@connectuni.fr,+33633604252,ENTERPRISE,2021-12-12,2022-12-12,13032.86
100,UniSmart SARL,Immobilier,582186239,58218623926080,FR10582186239,62 rue Victor Hugo,Rennes,49888,France,contact@unismart.fr,+33622162519,PARTNER,2021-03-17,2023-03-17,1665.48
101,NetDigital SARL,Santé,713553239,71355323954471,FR83713553239,45 rue du Commerce,Montpellier,16321,France,contact@netdigital.fr,+33688420882,PREMIUM,2022-12-30,2024-12-29,4949.98
102,TechSmart SAS,Énergie,580501590,58050159043916,FR57580501590,190 rue de la République,Paris,45900,France,contact@techsmart.fr,+33699566260,PREMIUM,2021-05-10,2022-05-10,13641.91
103,ConnectSmart SARL,Hôtellerie,180783069,18078306989816,FR96180783069,47 rue du Commerce,Lyon,80839,Belgique,contact@connectsmart.fr,+33685825852,PARTNER,2022-09-19,2024-09-18,1678.2
104,UniInfo SAS,Agriculture,723862206,72386220663442,FR26723862206,99 rue Nationale,Nice,44191,France,contact@uniinfo.fr,+33656792986,ENTERPRISE,2021-07-06,2023-07-06,10359.23
105,UniUni SNC,Agriculture,622753601,62275360193939,FR80622753601,144 rue Nationale,Le Havre,44650,France,contact@uniuni.fr,+33668996679,PREMIUM,2022-03-31,2025-03-30,9639.64
106,ProPro EURL,Distribution,287080188,28708018847721,FR22287080188,150 rue du Commerce,Nice,68812,France,contact@propro.fr,+33626433008,ENTERPRISE,2021-05-26,2024-05-25,1727.13
107,AlphaConnect SNC,Conseil IT,348614513,34861451317017,FR13348614513,156 rue du Commerce,Saint-Étienne,14519,France,contact@alphaconnect.fr,+33624375055,PARTNER,2022-01-17,2025-01-16,12594.72
108,EuroInter SAS,Commerce de détail,359237597,35923759799885,FR43359237597,25 rue de la Paix,Lille,70376,France,contact@eurointer.fr,+33633139982,ENTERPRISE,2021-03-16,2022-03-16,14748.01
109,SysTech SARL,Transport,645250675,64525067538271,FR54645250675,87 rue Victor Hugo,Toulouse,25056,France,contact@systech.fr,+33618693661,PREMIUM,2019-02-22,2021-02-21,7751.62
110,NovaPro SARL,Transport,771434049,77143404934812,FR51771434049,147 rue Nationale,Rouen,94434,France,contact@novapro.fr,+33622667647,ENTERPRISE,2021-12-25,2022-12-25,9903.51
111,TechEuro SA,Santé,992929434,99292943456488,FR27992929434,90 rue de la Paix,Dijon,62318,France,contact@techeuro.fr,+33634861525,PREMIUM,2021-06-06,2023-06-06,20901.51
112,AlphaSmart SNC,Immobilier,568732877,56873287734672,FR85568732877,170 rue du Commerce,Saint-Étienne,74631,France,contact@alphasmart.fr,+33649539598,BASIC,2019-09-04,2022-09-03,6886.36
113,GlobalTrans SARL,Construction,144150630,14415063010016,FR18144150630,80 rue de la République,Rouen,52872,Canada,contact@globaltrans.fr,+33698338268,PARTNER,2021-05-21,2023-05-21,662.95
114,TransCloud SNC,Informatique,560766926,56076692669281,FR37560766926,67 rue de la Paix,Saint-Étienne,19790,France,contact@transcloud.fr,+33616527547,PREMIUM,2021-09-18,2022-09-18,16918.92
115,NetAlpha SNC,Conseil IT,842902532,84290253239639,FR92842902532,31 rue de la République,Angers,43492,Luxembourg,contact@netalpha.fr,+33612267042,ENTERPRISE,2020-07-23,2023-07-23,16716.92
116,CloudNova SAS,Commerce de détail,107860407,10786040768565,FR70107860407,25 rue de la Paix,Nîmes,17063,France,contact@cloudnova.fr,+33662683145,PARTNER,2020-01-07,2022-01-06,17096.12
117,DataDigital SA,Construction,903629279,90362927955822,FR51903629279,179 rue Nationale,Saint-Étienne,17479,France,contact@datadigital.fr,+33617676364,STANDARD,2020-05-23,2023-05-23,4634.72
118,TransConnect EURL,Hôtellerie,782692770,78269277088274,FR85782692770,78 rue Victor Hugo,Le Havre,32727,France,contact@transconnect.fr,+33660209104,STANDARD,2019-11-10,2021-11-09,23205.95
119,CloudAlpha SAS,Informatique,833047395,83304739582030,FR35833047395,33 rue de la République,Grenoble,30247,France,contact@cloudalpha.fr,+33665584713,ENTERPRISE,2021-10-31,2022-10-31,12374.66
120,SmartTech SA,Énergie,284897631,28489763180261,FR58284897631,76 rue Nationale,Rouen,79130,France,contact@smarttech.fr,+33665366099,BASIC,2019-08-23,2020-08-22,10029.24
121,ConnectInfo EURL,Santé,106272534,10627253424289,FR47106272534,154 rue Nationale,Nice,89278,France,contact@connectinfo.fr,+33691893274,PREMIUM,2022-10-16,2023-10-16,18756.59
122,InterOmega SNC,Hôtellerie,663122947,66312294750268,FR36663122947,130 rue Victor Hugo,Paris,11029,France,contact@interomega.fr,+33652553274,STANDARD,2020-01-09,2021-01-08,3295.03
123,WebOmega GIE,Industrie,159123603,15912360395044,FR33159123603,125 rue Victor Hugo,Strasbourg,41949,France,contact@webomega.fr,+33696213189,BASIC,2022-12-26,2023-12-26,2808.85
124,InterOmega SNC,Commerce de détail,999151069,99915106927555,FR12999151069,150 rue du Commerce,Lille,44389,France,contact@interomega.fr,+33696473315,ENTERPRISE,2020-06-07,2021-06-07,12494.18
125,InfoAlpha SAS,Transport,188515524,18851552470169,FR35188515524,183 rue de la République,Lille,67702,France,contact@infoalpha.fr,+33619435595,PARTNER,2019-08-14,2020-08-13,11887.66
126,MultiNova SNC,Industrie,193474323,19347432332475,FR52193474323,88 rue du Commerce,Nice,64543,France,contact@multinova.fr,+33643547708,ENTERPRISE,2021-07-04,2023-07-04,1057.66
127,AlphaConnect SNC,Finance,174334692,17433469227393,FR19174334692,83 rue Victor Hugo,Grenoble,90212,France,contact@alphaconnect.fr,+33696450280,STANDARD,2022-05-11,2023-05-11,18488.08
128,NetSmart SA,Agriculture,360318206,36031820641440,FR11360318206,106 rue du Commerce,Marseille,65457,France,contact@netsmart.fr,+33697718821,STANDARD,2022-05-13,2025-05-12,7078.45
129,MultiSys SNC,Agriculture,809920693,80992069394591,FR46809920693,197 rue Nationale,Rennes,68500,France,contact@multisys.fr,+33687144571,STANDARD,2019-07-23,2020-07-22,1809.45
130,SmartTech GIE,Santé,127010582,12701058249634,FR57127010582,68 rue Nationale,Rouen,53443,France,contact@smarttech.fr,+33611970540,STANDARD,2021-07-30,2022-07-30,19142.32
131,ProNova SARL,Construction,520261917,52026191727735,FR35520261917,112 rue Nationale,Nîmes,32364,France,contact@pronova.fr,+33682255014,BASIC,2019-05-11,2021-05-10,15988.49
132,EuroData SA,Commerce de détail,996877484,99687748441360,FR61996877484,68 rue de la Paix,Lyon,15001,Maroc,contact@eurodata.fr,+33645227125,STANDARD,2019-05-29,2021-05-28,20068.79
133,WebUni SARL,Agriculture,581081035,58108103586171,FR88581081035,34 rue de la Paix,Grenoble,55411,France,contact@webuni.fr,+33675845780,ENTERPRISE,2022-01-16,2023-01-16,5707.8
134,InfoNet SARL,Informatique,732281763,73228176346842,FR92732281763,81 rue de la République,Toulon,32089,Suisse,contact@infonet.fr,+33639173126,PARTNER,2019-07-17,2021-07-16,2787.45
135,DataMulti SA,Énergie,990785261,99078526185489,FR13990785261,38 rue de la Paix,Bordeaux,57289,France,contact@datamulti.fr,+33615998993,PREMIUM,2019-04-16,2022-04-15,20224.79
136,DigitalOmega GIE,Industrie,467610235,46761023560753,FR13467610235,119 rue de la Paix,Paris,73728,France,contact@digitalomega.fr,+33641830349,BASIC,2019-07-15,2020-07-14,2557.54
137,NovaSys GIE,Industrie,111450472,11145047248753,FR76111450472,124 rue de la République,Toulouse,71782,France,contact@novasys.fr,+33677932400,PREMIUM,2022-12-10,2025-12-09,24739.39
138,TechConnect GIE,Hôtellerie,698745957,69874595736835,FR35698745957,1 rue de la République,Angers,58564,France,contact@techconnect.fr,+33622146935,ENTERPRISE,2020-01-21,2021-01-20,10670.23
139,DataInter SA,Agriculture,493995399,49399539949304,FR93493995399,57 rue de la Paix,Nice,95404,France,contact@datainter.fr,+33636118788,PARTNER,2019-01-12,2020-01-12,15053.27
140,NovaInfo EURL,Éducation,746530825,74653082582087,FR22746530825,130 rue Victor Hugo,Dijon,47399,France,contact@novainfo.fr,+33676398838,PREMIUM,2021-09-01,2023-09-01,10222.38
141,GlobalTrans SA,Finance,374082320,37408232087785,FR37374082320,111 rue de la Paix,Montpellier,74238,France,contact@globaltrans.fr,+33646548665,PREMIUM,2022-06-03,2025-06-02,6720.55
142,GlobalTech SNC,Agriculture,546231104,54623110482601,FR39546231104,104 rue Nationale,Toulouse,43645,France,contact@globaltech.fr,+33657925520,BASIC,2020-06-05,2022-06-05,13000.68
